Month,IntRate,UnempRate,Inflation
Jan-06,0.0650,0.07552,0.043564356
Feb-06,0.0650,0.07552,0.044510386
Mar-06,0.0650,0.07552,0.042406312
Apr-06,0.0650,0.07552,0.049659202
May-06,0.0650,0.07552,0.060487805
Jun-06,0.0675,0.07552,0.068027211
Jul-06,0.0700,0.07552,0.065384615
Aug-06,0.0700,0.07552,0.071085495
Sep-06,0.0700,0.07552,0.069590086
Oct-06,0.0725,0.07552,0.069259962
Nov-06,0.0725,0.07552,0.067298578
Dec-06,0.0725,0.07552,0.069590086
Jan-07,0.0750,0.07561,0.066413662
Feb-07,0.0750,0.07561,0.066287879
Mar-07,0.0775,0.07561,0.067171239
Apr-07,0.0775,0.07561,0.062152134
May-07,0.0775,0.07561,0.055197792
Jun-07,0.0775,0.07561,0.044585987
Jul-07,0.0775,0.07561,0.044223827
Aug-07,0.0775,0.07561,0.040358744
Sep-07,0.0775,0.07561,0.033868093
Oct-07,0.0775,0.07561,0.031943212
Nov-07,0.0775,0.07561,0.037300178
Dec-07,0.0775,0.07561,0.040106952
Jan-08,0.0775,0.07656,0.045373665
Feb-08,0.0775,0.07656,0.056838366
Mar-08,0.0775,0.07656,0.07712766
Apr-08,0.0775,0.07656,0.07860262
May-08,0.0775,0.07656,0.081952921
Jun-08,0.0850,0.07656,0.108885017
Jul-08,0.0900,0.07656,0.111495246
Aug-08,0.0900,0.07656,0.111206897
Sep-08,0.0900,0.07656,0.107758621
Oct-08,0.0800,0.07656,0.106620808
Nov-08,0.0750,0.07656,0.086472603
Dec-08,0.0650,0.07656,0.066838046
Jan-09,0.0550,0.07664,0.058723404
Feb-09,0.0550,0.07664,0.036134454
Mar-09,0.0500,0.07664,0.016460905
Apr-09,0.0475,0.07664,0.012145749
May-09,0.0475,0.07664,0.014504432
Jun-09,0.0475,0.07664,-0.00392773
Jul-09,0.0475,0.07664,-0.00311042
Aug-09,0.0475,0.07664,0.005430566
Sep-09,0.0475,0.07664,0.014007782
Oct-09,0.0475,0.07664,0.017871018
Nov-09,0.0475,0.07664,0.047281324
Dec-09,0.0475,0.07664,0.071485944
Jan-10,0.0475,0.07652,0.08681672
Feb-10,0.0475,0.07652,0.096512571
Mar-10,0.0500,0.07652,0.103643725
Apr-10,0.0525,0.07652,0.1088
May-10,0.0525,0.07652,0.104845115
Jun-10,0.0525,0.07652,0.102523659
Jul-10,0.0575,0.07652,0.099843994
Aug-10,0.0575,0.07652,0.088734568
Sep-10,0.0600,0.07652,0.089792786
Oct-10,0.0600,0.07652,0.090839695
Nov-10,0.0625,0.07652,0.082016554
Dec-10,0.0625,0.07652,0.094452774
Jan-11,0.0650,0.07616,0.094674556
Feb-11,0.0650,0.07616,0.095414201
Mar-11,0.0675,0.07616,0.096845194
Apr-11,0.0675,0.07616,0.097402597
May-11,0.0725,0.07616,0.095614666
Jun-11,0.0750,0.07616,0.095135908
Jul-11,0.0800,0.07616,0.093617021
Aug-11,0.0800,0.07616,0.097802977
Sep-11,0.0825,0.07616,0.1
Oct-11,0.0850,0.07616,0.098670399
Nov-11,0.0850,0.07616,0.0945758
Dec-11,0.0850,0.07616,0.07739726
Jan-12,0.0850,0.07666,0.062569832
Feb-12,0.0850,0.07666,0.080316742
Mar-12,0.0850,0.07666,0.090497738
Apr-12,0.0800,0.07666,0.097643098
May-12,0.0800,0.07666,0.097995546
Jun-12,0.0800,0.07666,0.101545254
Jul-12,0.0800,0.07666,0.10130719
Aug-12,0.0800,0.07666,0.102481122
Sep-12,0.0800,0.07666,0.097014925
Oct-12,0.0800,0.07666,0.092827004
Nov-12,0.0800,0.07666,0.095588235
Dec-12,0.0800,0.07666,0.104540655
Jan-13,0.0775,0.07711,0.099894848
Feb-13,0.0775,0.07711,0.102617801
Mar-13,0.0750,0.07711,0.09439834
Apr-13,0.0750,0.07711,0.084867076
May-13,0.0725,0.07711,0.084178499
Jun-13,0.0725,0.07711,0.095190381
Jul-13,0.0725,0.07711,0.097922849
Aug-13,0.0725,0.07711,0.099804305
Sep-13,0.0750,0.07711,0.104956268
Oct-13,0.0775,0.07711,0.108108108
Nov-13,0.0775,0.07711,0.115052733
Dec-13,0.0775,0.07711,0.094646272
Jan-14,0.0800,0.07674,0.086042065
Feb-14,0.0800,0.07674,0.078822412
Mar-14,0.0800,0.07674,0.082464455
Apr-14,0.0800,0.07674,0.084825636
May-14,0.0800,0.07674,0.083255379
Jun-14,0.0800,0.07674,0.067703568
Jul-14,0.0800,0.07674,0.073873874
Aug-14,0.0800,0.07674,0.070284698
Sep-14,0.0800,0.07674,0.056288478
Oct-14,0.0800,0.07674,0.046167247
Nov-14,0.0800,0.07674,0.032674119
Dec-14,0.0800,0.07674,0.04279476
Jan-15,0.0775,0.07631,0.05193662
Feb-15,0.0775,0.07631,0.053697183
Mar-15,0.0750,0.07631,0.052539405
Apr-15,0.0750,0.07631,0.048653345
May-15,0.0750,0.07631,0.050086356
Jun-15,0.0725,0.07631,0.053984576
Jul-15,0.0725,0.07631,0.036912752
Aug-15,0.0725,0.07631,0.037406484
Sep-15,0.0675,0.07631,0.044129892
Oct-15,0.0675,0.07631,0.049958368
Nov-15,0.0675,0.07631,0.054121565
Dec-15,0.0675,0.07631,0.056113903
Jan-16,0.0675,0.07601,0.056903766
Feb-16,0.0675,0.07601,0.052631579
Mar-16,0.0675,0.07601,0.048252912
Apr-16,0.0650,0.07601,0.054681027
May-16,0.0650,0.07601,0.057565789
Jun-16,0.0650,0.07601,0.057723577
Jul-16,0.0650,0.07601,0.060679612
Aug-16,0.0650,0.07601,0.050480769
Sep-16,0.0650,0.07601,0.043062201
Oct-16,0.0625,0.07601,0.042030135
Nov-16,0.0625,0.07601,0.036334913
Dec-16,0.0625,0.07601,0.034099921
Jan-17,0.0625,0.07618,0.031670625
Feb-17,0.0625,0.07618,0.036507937
Mar-17,0.0625,0.07618,0.038095238
Apr-17,0.0625,0.07618,0.029850746
May-17,0.0625,0.07618,0.021772939
Jun-17,0.0625,0.07618,0.014604151
Jul-17,0.0625,0.07618,0.023646072
Aug-17,0.0600,0.07618,0.03279939
Sep-17,0.0600,0.07618,0.033639144
Oct-17,0.0600,0.07618,0.035768645
Nov-17,0.0600,0.07618,0.048780488
Dec-17,0.0600,0.07618,0.052147239
Jan-18,0.0600,0.07652,0.050652341
Feb-18,0.0600,0.07652,0.044410413
Mar-18,0.0600,0.07652,0.043577982
Apr-18,0.0600,0.07652,0.04576659
May-18,0.0600,0.07652,0.04870624
Jun-18,0.0625,0.07652,0.049242424
Jul-18,0.0625,0.07652,0.041728763
Aug-18,0.0650,0.07652,0.036927622
Sep-18,0.0650,0.07652,0.036982249
Oct-18,0.0650,0.07652,0.033798677
Nov-18,0.0650,0.07652,0.023255814
Dec-18,0.0650,0.07652,0.021137026
Jan-19,0.0650,0.0651,0.019722425
Feb-19,0.0625,0.0651,0.025659824
Mar-19,0.0625,0.0651,0.028571429
Apr-19,0.0600,0.0651,0.029905179
May-19,0.0600,0.0651,0.030478955
Jun-19,0.0575,0.0651,0.031768953
Jul-19,0.0575,0.0651,0.031473534
Aug-19,0.0540,0.0651,0.032763533
Sep-19,0.0540,0.0651,0.039942939
Oct-19,0.0515,0.0651,0.046197584
Nov-19,0.0515,0.0651,0.055397727
Dec-19,0.0515,0.0651,0.073518915
Jan-20,0.0515,0.07859,0.075931232
Feb-20,0.0515,0.07859,0.065761258
Mar-20,0.0440,0.07859,0.058404558
Apr-20,0.0440,0.07859,0.07223796
May-20,0.0400,0.07859,0.062676056
Jun-20,0.0400,0.07859,0.062281316
Jul-20,0.0400,0.07859,0.067267684
Aug-20,0.0400,0.07859,0.066896552
Sep-20,0.0400,0.07859,0.072702332
Oct-20,0.0400,0.07859,0.076086957
Nov-20,0.0400,0.07859,0.069313594
Dec-20,0.0400,0.07859,0.04587766
Jan-21,0.0400,0.0638,0.040612517
Feb-21,0.0400,0.0638,0.050301811
Mar-21,0.0400,0.0638,0.055181696
Apr-21,0.0400,0.0638,0.042272127
May-21,0.0400,0.0638,0.0629556
Jun-21,0.0400,0.0638,0.062582345
Jul-21,0.0400,0.0638,0.055880442
Aug-21,0.0400,0.0638,0.053005818
Sep-21,0.0400,0.0638,0.043478261
Oct-21,0.0400,0.0638,0.044823232
Nov-21,0.0400,0.0638,0.049087476
Dec-21,0.0400,0.0638,0.056579784
Jan-22,0.0400,0.04822,0.060140755
Feb-22,0.0400,0.04822,0.060664112
Mar-22,0.0400,0.04822,0.069515306
Apr-22,0.0400,0.04822,0.077946768
May-22,0.0440,0.04822,0.070448878
Jun-22,0.0490,0.04822,0.070055797
Jul-22,0.0490,0.04822,0.067076923
Aug-22,0.0540,0.04822,0.069981584
Sep-22,0.0590,0.04822,0.074142157
Oct-22,0.0590,0.04822,0.067673716
Nov-22,0.0590,0.04822,0.058788242
Dec-22,0.0625,0.04822,0.057160048
Jan-23,0.0625,0.04172,0.065178033
Feb-23,0.0650,0.04172,0.064419025
Mar-23,0.0650,0.04172,0.056648778
Apr-23,0.0650,0.04172,0.047031158
May-23,0.0650,0.04172,0.043098427
Jun-23,0.0650,0.04172,0.048667439
Jul-23,0.0650,0.04172,0.074394464
Aug-23,0.0650,0.04172,0.068273092
Sep-23,0.0650,0.04172,0.050199658
Oct-23,0.0650,0.04172,0.048670062
Nov-23,0.0650,0.04172,0.055524079
Dec-23,0.0650,0.04172,0.056915196
Jan-24,0.0650,0.04202,0.050991501
Feb-24,0.0650,0.04202,0.050904977
Mar-24,0.0650,0.04202,0.048532731
Apr-24,0.0650,0.04202,0.048287479
May-24,0.0650,0.04202,0.048017867
Jun-24,0.0650,0.04202,0.050828729
Jul-24,0.0650,0.04202,0.0359635
Aug-24,0.0650,0.04202,0.036519871
Sep-24,0.0650,0.04202,0.054861488
Oct-24,0.0650,0.04202,0.062061522
Nov-24,0.0650,0.04202,0.054750403
Dec-24,0.0650,0.04202,0.052234787
Jan-25,0.0650,0.0515,0.042587601
Feb-25,0.0625,0.0515,0.03606028
Mar-25,0.0625,0.0515,0.033369214
Apr-25,0.0600,0.0515,0.0316015
May-25,0.0600,0.0515,0.028236548
Jun-25,0.0550,0.0515,0.021030494
Jul-25,0.0550,0.0515,0.016062176
Aug-25,0.0550,0.0515,0.020725389
Sep-25,0.0550,0.0515,0.014418126
Oct-25,0.0550,0.0515,0.00254065
Nov-25,0.0550,0.0515,0.007124682
Dec-25,0.0525,0.0515,0.0131313
